id,vehiculo_id,cliente_id,concesionario_id,fecha_venta,precio_final,metodo_pago
201,48,337,4,2023-01-02,37168,Transferencia
202,25,416,5,2023-11-08,38856,Efectivo
203,18,354,2,2023-11-27,71394,Tarjeta de Crédito
204,22,360,7,2024-01-05,67564,Transferencia
205,49,319,7,2023-05-26,76347,Transferencia
206,22,432,3,2023-08-29,18560,Financiamiento
207,7,196,4,2023-08-26,78905,Financiamiento
208,27,122,5,2023-11-11,28510,Tarjeta de Crédito
209,23,10,7,2023-01-09,42269,Efectivo
210,5,481,1,2023-01-01,65882,Efectivo
211,44,360,9,2024-01-24,50817,Transferencia
212,49,70,9,2023-02-26,28533,Efectivo
213,43,426,2,2023-06-30,54437,Financiamiento
214,16,295,7,2024-01-07,69060,Tarjeta de Crédito
215,29,33,2,2023-05-18,75249,Transferencia
216,8,84,1,2023-05-10,13766,Tarjeta de Crédito
217,12,269,5,2023-04-10,53694,Efectivo
218,21,317,8,2024-01-11,51042,Efectivo
219,12,154,7,2024-01-13,29033,Financiamiento
220,12,500,2,2023-08-26,45314,Transferencia
221,27,248,6,2023-01-30,56512,Financiamiento
222,50,489,7,2023-07-12,48189,Financiamiento
223,8,135,6,2023-02-10,73813,Transferencia
224,34,112,7,2023-02-03,45228,Transferencia
225,27,219,6,2023-06-26,50035,Tarjeta de Crédito
226,2,12,1,2023-04-11,60260,Financiamiento
227,39,426,8,2023-03-23,29460,Financiamiento
228,21,390,3,2023-04-18,72768,Efectivo
229,32,260,8,2023-12-10,19897,Transferencia
230,34,185,1,2024-01-08,77536,Transferencia
231,21,325,8,2023-02-18,60220,Efectivo
232,40,271,10,2023-11-25,75655,Efectivo
233,6,482,7,2023-08-07,24499,Efectivo
234,47,213,8,2023-05-14,66513,Tarjeta de Crédito
235,43,367,8,2023-10-18,57821,Financiamiento
236,43,26,6,2023-09-18,78648,Financiamiento
237,41,305,10,2024-01-08,51535,Financiamiento
238,45,100,9,2023-12-16,16987,Efectivo
239,10,38,3,2023-03-23,75950,Transferencia
240,18,42,2,2023-09-08,40119,Transferencia
241,39,30,3,2023-09-24,78964,Transferencia
242,40,183,1,2023-07-12,11485,Efectivo
243,6,227,3,2023-01-07,12396,Financiamiento
244,41,180,9,2023-08-23,56953,Financiamiento
245,2,250,7,2023-04-11,77848,Tarjeta de Crédito
246,45,435,4,2023-03-19,26399,Efectivo
247,40,181,2,2023-09-16,58960,Transferencia
248,50,215,5,2023-07-29,49144,Financiamiento
249,12,389,7,2023-08-24,63640,Tarjeta de Crédito
250,17,353,6,2023-01-20,27757,Tarjeta de Crédito
251,5,169,7,2023-03-23,18057,Efectivo
252,32,45,7,2023-09-13,16768,Efectivo
253,47,48,5,2023-10-14,78884,Tarjeta de Crédito
254,10,254,9,2024-01-24,43922,Financiamiento
255,25,19,7,2023-01-12,45100,Transferencia
